Date,Open,High,Low,Close,Volume
04/21/2023,"412.19","412.68","410.17","412.20","73,457,422"
04/20/2023,"411.21","413.70","410.27","411.88","75,840,359"
04/19/2023,"412.22","415.08","412.16","414.14","55,227,328"
04/18/2023,"415.58","415.72","412.78","414.21","63,560,000"
04/17/2023,"412.37","413.96","411.09","413.94","66,436,398"
04/14/2023,"412.81","415.09","410.06","412.46","78,161,508"
04/13/2023,"409.18","413.84","407.99","413.47","85,814,750"
04/12/2023,"411.87","412.17","407.44","408.05","86,420,383"
04/11/2023,"410.26","411.18","408.92","409.72","59,297,953"
04/10/2023,"406.61","409.69","405.97","409.61","63,681,039"
04/06/2023,"406.77","409.48","405.68","409.19","63,743,352"
04/05/2023,"407.91","408.70","405.88","407.60","65,200,238"
04/04/2023,"411.62","411.92","407.24","408.67","66,601,531"
04/03/2023,"408.85","411.37","408.44","410.95","67,391,102"
03/31/2023,"404.66","409.70","404.55","409.39","112,062,602"
03/30/2023,"404.09","404.35","401.76","403.70","69,840,047"
03/29/2023,"399.93","401.60","398.68","401.35","77,497,883"
03/28/2023,"395.77","396.49","393.69","395.60","62,871,680"
03/27/2023,"398.12","398.92","395.56","396.49","74,010,406"
03/24/2023,"391.84","395.84","389.40","395.75","107,770,094"
03/23/2023,"395.09","399.29","390.35","393.17","119,351,297"
03/22/2023,"398.73","402.49","392.07","392.11","111,746,602"
03/21/2023,"397.24","399.41","395.58","398.91","91,524,250"
03/20/2023,"390.80","394.17","390.07","393.74","93,055,773"
03/17/2023,"393.22","394.40","388.55","389.99","140,553,406"
03/16/2023,"386.82","396.47","386.29","396.11","143,753,906"
03/15/2023,"385.89","389.49","383.71","389.28","172,996,891"
03/14/2023,"390.50","393.45","387.05","391.73","149,752,406"
03/13/2023,"381.81","390.39","380.65","385.36","157,790,000"
03/10/2023,"390.99","393.16","384.32","385.91","189,252,984"
03/09/2023,"399.74","401.48","390.53","391.56","111,945,297"
03/08/2023,"398.39","399.71","396.59","398.92","74,746,633"
03/07/2023,"404.42","404.67","397.63","398.27","108,310,602"
03/06/2023,"405.05","407.45","404.01","404.47","72,795,953"
03/03/2023,"399.71","404.45","399.03","404.19","90,119,953"
03/02/2023,"392.68","398.69","392.33","397.81","85,404,727"
03/01/2023,"395.41","396.69","393.38","394.74","99,706,812"
02/28/2023,"397.23","399.28","396.15","396.26","96,438,570"
02/27/2023,"399.87","401.29","396.75","397.73","80,444,734"
02/24/2023,"395.42","397.25","393.64","396.38","108,194,398"
02/23/2023,"401.56","402.20","396.25","400.66","96,242,398"
02/22/2023,"399.52","401.13","397.02","398.54","83,742,289"
02/21/2023,"403.06","404.16","398.82","399.09","82,655,922"
02/17/2023,"406.06","407.51","404.05","407.26","89,257,820"
02/16/2023,"408.79","412.91","408.14","408.28","76,431,469"
02/15/2023,"410.35","414.06","409.47","413.98","61,685,281"
02/14/2023,"411.24","415.05","408.51","412.64","88,389,312"
02/13/2023,"408.72","412.97","408.24","412.83","64,913,539"
02/10/2023,"405.86","408.44","405.01","408.04","70,769,719"
02/09/2023,"414.41","414.57","405.81","407.09","78,694,867"
02/08/2023,"413.13","414.53","409.93","410.65","76,227,453"
02/07/2023,"408.87","416.49","407.57","415.19","90,990,750"
02/06/2023,"409.79","411.29","408.10","409.83","60,295,328"
02/03/2023,"411.59","416.97","411.09","412.35","94,736,781"
02/02/2023,"414.86","418.31","412.88","416.78","101,654,492"
02/01/2023,"405.21","413.67","402.35","410.80","101,459,203"
01/31/2023,"401.13","406.53","400.77","406.48","86,811,789"
01/30/2023,"402.80","405.13","400.28","400.59","74,202,016"
01/27/2023,"403.66","408.16","403.44","405.68","68,346,180"
01/26/2023,"403.13","404.92","400.03","404.75","72,287,430"
01/25/2023,"395.95","400.70","393.56","400.35","84,800,250"
01/24/2023,"398.88","401.15","397.64","400.20","59,524,910"
01/23/2023,"396.72","402.65","395.72","400.63","84,178,797"
